language,wals,metric,algorithm,value,run_id
PORTUGUESE,por,del-verses,gzip,-0.8907815878392266,2
PORTUGUESE,por,del-verses,gzip,-0.8891702360301553,3
PORTUGUESE,por,del-verses,gzip,-0.8815245361197662,4
PORTUGUESE,por,del-verses,gzip,-0.8867943142300452,5
PORTUGUESE,por,del-verses,gzip,-0.8901567779540764,6
PORTUGUESE,por,del-verses,gzip,-0.8911844257914944,7
PORTUGUESE,por,del-verses,gzip,-0.8896388434440179,8
PORTUGUESE,por,del-verses,gzip,-0.8842621899586475,9
RIKBAKTSA,rik,del-verses,gzip,-0.8883509231075584,0
RIKBAKTSA,rik,del-verses,gzip,-0.8872016613091344,1
